director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combined
Derek Cianfrance,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,Crime Drama Thriller,the place beyond the pines,ryan gosl ben mendelsohn angelo anthoni pizza derek cianfranc crime drama thriller
Roger Donaldson,Luke Bracey,Akie Kotabe,Will Patton,Action Crime Thriller,the november man,luke bracey aki kotab will patton roger donaldson action crime thriller
Stephan Elliott,Jason Priestley,Patrick Bergin,Geneviève Bujold,Drama Mystery Thriller,eye of the beholder,jason priestley patrick bergin genevièv bujold stephan elliott drama mysteri thriller
Kathryn Bigelow,Jeremy Renner,Christian Camargo,Brian Geraghty,Drama History Thriller War,the hurt locker,jeremi renner christian camargo brian geraghti kathryn bigelow drama histori thriller war
Mark L. Lester,Heather Locklear,George C. Scott,David Keith,Action Horror Sci-Fi Thriller,firestarter,heather locklear georg c. scott david keith mark l. lester action horror sci-fi thriller
Andrew Dominik,Brad Pitt,Sam Shepard,Ben Mendelsohn,Crime Thriller,killing them softly,brad pitt sam shepard ben mendelsohn andrew dominik crime thriller
Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,Crime Drama Thriller,a most wanted man,philip seymour hoffman nina hoss homayoun ershadi anton corbijn crime drama thriller
Tom Green,Rip Torn,Harland Williams,Eddie Kaye Thomas,Comedy,freddy got fingered,rip torn harland william eddi kay thoma tom green comedi
Mike Nawrocki,Yuri Lowenthal,Cam Clarke,Phil Vischer,Adventure Animation Comedy Family,the pirates who don't do anything: a veggietales movie,yuri lowenth cam clark phil vischer mike nawrocki adventur anim comedi famili
Catherine Owens,Bono,The Edge,Larry Mullen Jr.,Documentary Music,u2 3d,bono the edg larri mullen jr. catherin owen documentari music
Douglas Aarniokoski,Christopher Lambert,Adrian Paul,Adam Copeland,Action Adventure Fantasy Sci-Fi,highlander: endgame,christoph lambert adrian paul adam copeland dougla aarniokoski action adventur fantasi sci-fi
Bryan Barber,Cicely Tyson,Faizon Love,Bobb'e J. Thompson,Crime Drama Musical Romance,idlewild,cice tyson faizon love bobb' j. thompson bryan barber crime drama music romanc
Lone Scherfig,Anne Hathaway,Jim Sturgess,Rafe Spall,Drama Romance,one day,ann hathaway jim sturgess rafe spall lone scherfig drama romanc
Drew Barrymore,Daniel Stern,Jimmy Fallon,Alia Shawkat,Drama Sport,whip it,daniel stern jimmi fallon alia shawkat drew barrymor drama sport
Brian Koppelman,Vin Diesel,Tom Noonan,Kevin Gage,Crime Drama Thriller,knockaround guys,vin diesel tom noonan kevin gage brian koppelman crime drama thriller
James Foley,Louis Lombardi,Brian Van Holt,Leland Orser,Crime Thriller,confidence,loui lombardi brian van holt leland orser jame foley crime thriller
Albert Brooks,Jeff Bridges,Bradley Whitford,Albert Brooks,Comedy,the muse,jeff bridg bradley whitford albert brook albert brook comedi
Irwin Winkler,Kevin McNally,Keith Allen,Sandra Nelson,Biography Drama Music Musical,de-lovely,kevin mcnalli keith allen sandra nelson irwin winkler biographi drama music music
Woody Allen,Woody Allen,Larry David,Mia Farrow,Comedy Drama Romance,new york stories,woodi allen larri david mia farrow woodi allen comedi drama romanc
Steve Gomer,Trevor Morgan,Kyla Pratt,Shirley Douglas,Adventure Family,barney's great adventure,trevor morgan kyla pratt shirley dougla steve gomer adventur famili
RZA,Rick Yune,RZA,Daniel Wu,Action,the man with the iron fists,rick yune rza daniel wu rza action
Dean Parisot,Catherine O'Hara,Jake Busey,Shelley Duvall,Comedy Drama Romance,home fries,catherin o'hara jake busey shelley duval dean parisot comedi drama romanc
Mark Piznarski,Bruce Greenwood,Chris Klein,Elaine Hendrix,Drama Romance,here on earth,bruce greenwood chri klein elain hendrix mark piznarski drama romanc
Terry Gilliam,Robert De Niro,Bob Hoskins,Jim Broadbent,Drama Sci-Fi,brazil,robert de niro bob hoskin jim broadbent terri gilliam drama sci-fi
Sean McNamara,Oliver James,Rebecca De Mornay,Jason Ritter,Family Music Romance,raise your voice,oliv jame rebecca de mornay jason ritter sean mcnamara famili music romanc
unknown,David Ogden Stiers,Nicole de Boer,Chris Bruno,Drama Fantasy Mystery Sci-Fi,the dead zone            ,david ogden stier nicol de boer chri bruno unknown drama fantasi mysteri sci-fi
Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,Comedy Crime,the big lebowski,philip seymour hoffman jeff bridg steve buscemi joel coen comedi crime
Craig Brewer,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,Drama Music,black snake moan,justin timberlak michael raymond-jam s. epatha merkerson craig brewer drama music
Ron Shelton,Khandi Alexander,Dash Mihok,Michael Michele,Crime Drama Romance Thriller,dark blue,khandi alexand dash mihok michael michel ron shelton crime drama romanc thriller
Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,Biography Drama History Thriller War,a mighty heart,angelina joli pitt archi panjabi dan futterman michael winterbottom biographi drama histori thriller war
David Raynr,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,Comedy Drama Romance,whatever it takes,jame franco jodi lyn o'keef marla sokoloff david raynr comedi drama romanc
Mort Nathan,Vivica A. Fox,Lin Shaye,Bob Gunton,Comedy,boat trip,vivica a. fox lin shay bob gunton mort nathan comedi
Oliver Parker,Colin Firth,Tom Wilkinson,Rupert Everett,Comedy Drama Romance,the importance of being earnest,colin firth tom wilkinson rupert everett oliv parker comedi drama romanc
Wil Shriner,Logan Lerman,Neil Flynn,Tim Blake Nelson,Adventure Comedy Family,hoot,logan lerman neil flynn tim blake nelson wil shriner adventur comedi famili
Martin McDonagh,Elizabeth Berrington,Anna Madeley,Eric Godon,Comedy Crime Drama,in bruges,elizabeth berrington anna madeley eric godon martin mcdonagh comedi crime drama
Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,Comedy Romance,peeples,tyler jame william s. epatha merkerson diahann carrol tina gordon chism comedi romanc
Peter Cattaneo,Emma Stone,Bradley Cooper,Josh Gad,Comedy Music,the rocker,emma stone bradley cooper josh gad peter cattaneo comedi music
Vicky Jenson,J.K. Simmons,Zach Gilford,Bobby Coleman,Comedy Romance,post grad,j.k. simmon zach gilford bobbi coleman vicki jenson comedi romanc
Gus Van Sant,Matt Damon,Hal Holbrook,Terry Kinney,Drama,promised land,matt damon hal holbrook terri kinney gu van sant drama
Woody Allen,Larry David,Michael McKean,Conleth Hill,Comedy Romance,whatever works,larri david michael mckean conleth hill woodi allen comedi romanc
Mary Lambert,Matthew Settle,Susan Ward,A.J. Buckley,Drama Mystery Thriller,the in crowd,matthew settl susan ward a.j. buckley mari lambert drama mysteri thriller
Tommy Lee Jones,Levon Helm,Dwight Yoakam,Guillermo Arriaga,Adventure Crime Drama Mystery Western,three burials,levon helm dwight yoakam guillermo arriaga tommi lee jone adventur crime drama mysteri western
Peter Kassovitz,Robin Williams,Mark Margolis,Michael Jeter,Drama War,jakob the liar,robin william mark margoli michael jeter peter kassovitz drama war
Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller,Comedy Crime Mystery,kiss kiss bang bang,robert downey jr. corbin bernsen larri miller shane black comedi crime mysteri
Rodman Flender,Vivica A. Fox,Fred Willard,Elden Henson,Comedy Fantasy Horror Thriller,idle hands,vivica a. fox fred willard elden henson rodman flender comedi fantasi horror thriller
David Lynch,Naomi Watts,Robert Forster,Laura Harring,Drama Mystery Thriller,mulholland drive,naomi watt robert forster laura har david lynch drama mysteri thriller
Katja von Garnier,Olivier Martinez,Agnes Bruckner,Chris Geere,Drama Fantasy Horror Romance,blood and chocolate,olivi martinez agn bruckner chri geer katja von garnier drama fantasi horror romanc
Woody Allen,Anthony Hopkins,Naomi Watts,Ewen Bremner,Comedy Drama Romance,you will meet a tall dark stranger,anthoni hopkin naomi watt ewen bremner woodi allen comedi drama romanc
Mark Romanek,Andrew Garfield,Charlie Rowe,Charlotte Rampling,Drama Romance Sci-Fi,never let me go,andrew garfield charli row charlott rampl mark romanek drama romanc sci-fi
unknown,Anna Silk,Tom Hollander,Alessandro Nivola,Drama History Thriller,the company            ,anna silk tom holland alessandro nivola unknown drama histori thriller
Brad Anderson,Thomas Kretschmann,Eduardo Noriega,Mac McDonald,Crime Drama Mystery Thriller,transsiberian,thoma kretschmann eduardo noriega mac mcdonald brad anderson crime drama mysteri thriller
Michael Chapman,Curtis Armstrong,Pamela Reed,Mike Muscat,Adventure Drama Fantasy,the clan of the cave bear,curti armstrong pamela reed mike muscat michael chapman adventur drama fantasi
Antonio Banderas,Meat Loaf,Elizabeth Perkins,Noah Emmerich,Comedy Crime Drama,crazy in alabama,meat loaf elizabeth perkin noah emmerich antonio bandera comedi crime drama
Michael Haneke,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet,Crime Drama Horror Thriller,funny games,naomi watt siobhan fallon hogan bradi corbet michael hanek crime drama horror thriller
Khalil Sullins,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,Drama Sci-Fi Thriller,listening,thoma stroppel kalim chandler amber mari bolling khalil sullin drama sci-fi thriller
Atom Egoyan,Bob Hoskins,Elaine Cassidy,Gerard McSorley,Drama Thriller,felicia's journey,bob hoskin elain cassidi gerard mcsorley atom egoyan drama thriller
Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,Drama Sci-Fi,metropolis,brigitt helm gustav fröhlich rudolf klein-rogg fritz lang drama sci-fi
Pierre Morel,David Belle,Cyril Raffaelli,Dany Verissimo-Petit,Action Crime Thriller,district b13,david bell cyril raffaelli dani verissimo-petit pierr morel action crime thriller
Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams,Crime Drama,things to do in denver when you're dead,steve buscemi bill cobb treat william gari fleder crime drama
Hsiao-Hsien Hou,Qi Shu,Chen Chang,Satoshi Tsumabuki,Action Drama,the assassin,qi shu chen chang satoshi tsumabuki hsiao-hsien hou action drama
Gregor Jordan,Dean Stockwell,Scott Glenn,Leon,Comedy Crime Drama Thriller War,buffalo soldiers,dean stockwel scott glenn leon gregor jordan comedi crime drama thriller war
Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Drama Mystery Thriller,the return,konstantin lavronenko vladimir garin nataliya vdovina andrey zvyagintsev drama mysteri thriller
Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Action,ong-bak 2,nirut sirichanya petchtai wongkamlao sarunyu wongkrachang toni jaa action
Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno,Action Adventure Drama History Thriller War,centurion,michael fassbend jj feild dave legeno neil marshal action adventur drama histori thriller war
Russell Mulcahy,Christopher Heyerdahl,Gina Bellman,Conrad Dunn,Action Drama Thriller,silent trigger,christoph heyerdahl gina bellman conrad dunn russel mulcahi action drama thriller
Ryûhei Kitamura,Bradley Cooper,Brooke Shields,Leslie Bibb,Fantasy Horror Mystery,the midnight meat train,bradley cooper brook shield lesli bibb ryûhei kitamura fantasi horror mysteri
Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo,Biography Drama History,winnie mandela,jennif hudson wendi crewson aubrey poo darrel roodt biographi drama histori
Dito Montiel,Channing Tatum,Al Pacino,Tracy Morgan,Crime Drama Thriller,the son of no one,chan tatum al pacino traci morgan dito montiel crime drama thriller
Stefan Ruzowitzky,Eddie Izzard,Udo Kier,Edward Fox,Action Comedy Drama War,all the queen's men,eddi izzard udo kier edward fox stefan ruzowitzki action comedi drama war
Jake Paltrow,Stephen Graham,Gael Le Cornec,Keith Allen,Comedy Drama Fantasy Music Romance,the good night,stephen graham gael le cornec keith allen jake paltrow comedi drama fantasi music romanc
Juraj Jakubisko,Anna Friel,Hans Matheson,Franco Nero,Biography Drama Fantasy History,bathory: countess of blood,anna friel han matheson franco nero juraj jakubisko biographi drama fantasi histori
Anthony Silverston,Liam Neeson,Steve Buscemi,Loretta Devine,Adventure Animation Family,khumba,liam neeson steve buscemi loretta devin anthoni silverston adventur anim famili
Gabe Ibáñez,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Action Sci-Fi Thriller,automata,birgitt hjort sørensen robert forster melani griffith gabe ibáñez action sci-fi thriller
Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,Action Adventure Fantasy,dungeons & dragons: wrath of the dragon god,bruce payn luci gaskel steven elder gerri live action adventur fantasi
Daniele Luchetti,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Biography,chiamatemi francesco - il papa della gente,maximilian dirr rodrigo de la serna ferdinando veter daniel luchetti biographi
Tung-Shing Yee,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Action Crime Drama Thriller,shinjuku incident,bingb fan daniel wu yasuaki kurata tung-sh yee action crime drama thriller
Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache,Biography Drama,pandaemonium,samantha morton dexter fletcher linu roach julien templ biographi drama
Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,Comedy Fantasy Romance,groundhog day,bill murray chri elliott willi garson harold rami comedi fantasi romanc
Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash,Comedy Drama Music,magic mike xxl,matt bomer chan tatum kevin nash gregori jacob comedi drama music
Baz Luhrmann,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Drama Romance,romeo + juliet,leonardo dicaprio harold perrineau brian dennehi baz luhrmann drama romanc
Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Drama War,sarah's key,kristin scott thoma aidan quinn arben bajraktaraj gill paquet-brenn drama war
Peter Cousens,Sharon Leal,David Rasche,Bart Shatto,Drama Family Music,freedom,sharon leal david rasch bart shatto peter cousen drama famili music
Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,Drama Western,unforgiven,clint eastwood morgan freeman franc fisher clint eastwood drama western
Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama,manderlay,bryce dalla howard jeremi davi jean-marc barr lar von trier drama
Danny Boyle,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Drama Romance,slumdog millionaire,anil kapoor saurabh shukla ayush mahesh khedekar danni boyl drama romanc
Adrian Lyne,Fred Gwynne,Lois Smith,Anne Archer,Drama Romance Thriller,fatal attraction,fred gwynn loi smith ann archer adrian lyne drama romanc thriller
Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander,Comedy Romance,pretty woman,julia robert hector elizondo jason alexand garri marshal comedi romanc
John Blanchard,Martin Short,Andrea Martin,Joe Flaherty,Comedy,towering inferno            ,martin short andrea martin joe flaherti john blanchard comedi
John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy,crocodile dundee ii,paul hogan linda kozlowski john meillon john cornel action adventur comedi
Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,broken horses,maría valverd chri marquett chad bishop vidhu vinod chopra action crime drama mysteri thriller
Oliver Stone,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography Drama War,born on the fourth of july,tom cruis tom bereng stephen baldwin oliv stone biographi drama war
Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,Adventure Comedy Family Sport,cool runnings,doug e. doug leon malik yoba jon turteltaub adventur comedi famili sport
Patrick Lussier,Jensen Ackles,Jaime King,Edi Gathegi,Horror Thriller,my bloody valentine,jensen ackl jaim king edi gathegi patrick lussier horror thriller
Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis,Horror Thriller,the possession,kyra sedgwick madison davenport natasha cali ole borned horror thriller
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Action Adventure Drama,first blood,sylvest stallon brian dennehi chri mulkey ted kotcheff action adventur drama
Sylvain White,Chris Brown,Laz Alonso,Harry Lennix,Drama Music Romance,stomp the yard,chri brown laz alonso harri lennix sylvain white drama music romanc
Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach,Action Adventure Sci-Fi Thriller,the spy who loved me,carolin munro desmond llewelyn barbara bach lewi gilbert action adventur sci-fi thriller
unknown,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,ghost hunters            ,ami bruni steve gonsalv jason haw unknown documentari
Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,Horror Mystery Thriller,urban legend,alicia witt loretta devin julian rich jami blank horror mysteri thriller
Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,dangerous liaisons,keanu reev peter capaldi swoosi kurtz stephen frear drama romanc
Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Comedy Drama Romance,good deeds,eddi cibrian phylicia rashad jami kennedi tyler perri comedi drama romanc
Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Adventure Drama,white fang,seymour cassel klau maria brandauer susan hogan randal kleiser adventur drama
Bruce McCulloch,Will Ferrell,Elaine Hendrix,Molly Shannon,Comedy Romance,superstar,will ferrel elain hendrix molli shannon bruce mcculloch comedi romanc
Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,Biography Drama History,the iron lady,meryl streep jim broadbent olivia colman phyllida lloyd biographi drama histori
Mike Nawrocki,Phil Vischer,Mike Nawrocki,Shelby Vischer,Adventure Animation Comedy Drama Family Musical,jonah: a veggietales movie,phil vischer mike nawrocki shelbi vischer mike nawrocki adventur anim comedi drama famili music
John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,Drama Romance,poetic justice,janet jackson khandi alexand maya angel john singleton drama romanc
Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano,Action Comedy Crime Thriller,all about the benjamins,mike epp roger guenveur smith gino salvano kevin bray action comedi crime thriller
Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,Comedy Fantasy Horror Romance,vampire in brooklyn,john witherspoon w. earl brown allen payn we craven comedi fantasi horror romanc
John Boorman,Linda Blair,Richard Burton,Ned Beatty,Horror,exorcist ii: the heretic,linda blair richard burton ned beatti john boorman horror
Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Horror Mystery Thriller,an american haunting,sissi spacek jame d'arci vernon dobtcheff courtney solomon horror mysteri thriller
David Zucker,Carmen Electra,Tyler Labine,Molly Shannon,Comedy Romance,my boss's daughter,carmen electra tyler labin molli shannon david zucker comedi romanc
David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,Adventure Mystery Thriller,a perfect getaway,chri hemsworth milla jovovich marley shelton david twohi adventur mysteri thriller
Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,Comedy Romance,our family wedding,america ferrera lanc gross lupe ontivero rick famuyiwa comedi romanc
Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Comedy,dead man on campus,alyson hannigan linda cardellini poppi montgomeri alan cohn comedi
Franco Zeffirelli,Lily Tomlin,Joan Plowright,Paolo Seganti,Comedy Drama War,tea with mussolini,lili tomlin joan plowright paolo seganti franco zeffirelli comedi drama war
Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Fantasy Horror,thinner,joe mantegna bethani joy lenz kari wuhrer tom holland fantasi horror
Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place,Drama Music Musical Romance,"new york, new york",robert de niro liza minnelli mari kay place martin scorses drama music music romanc
Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,Comedy Drama,crooklyn,alfr woodard delroy lindo isaiah washington spike lee comedi drama
Chris Rock,Steve Buscemi,Eliza Coupe,Wendell Pierce,Comedy Drama Romance,i think i love my wife,steve buscemi eliza coup wendel pierc chri rock comedi drama romanc
James Isaac,Peter Mensah,Kane Hodder,Lexa Doig,Action Horror Sci-Fi Thriller,jason x,peter mensah kane hodder lexa doig jame isaac action horror sci-fi thriller
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,big fat liar,franki muniz donald faison lee major shawn levi adventur comedi famili
Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama History,bobby,anthoni hopkin nick cannon brian geraghti emilio estevez drama histori
Mark Waters,Monica Potter,Ivana Milicevic,China Chow,Comedy Mystery Romance,head over heels,monica potter ivana milicev china chow mark water comedi mysteri romanc
Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau,Adventure Comedy,fun size,thoma mcdonel jackson nicol osric chau josh schwartz adventur comedi
Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Biography Drama,the diving bell and the butterfly,emmanuel seigner mathieu amalr isaach de bankolé julian schnabel biographi drama
Todd Field,Kate Winslet,Noah Emmerich,Jane Adams,Drama Romance,little children,kate winslet noah emmerich jane adam todd field drama romanc
Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,Drama Mystery Thriller,gossip,norman reedu sharon lawrenc noam jenkin davi guggenheim drama mysteri thriller
Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,a walk on the moon,viggo mortensen juli kavner tovah feldshuh toni goldwyn drama
Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna,Biography Drama History,catch a fire,derek luke terri pheto bonni henna phillip noyc biographi drama histori
Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Drama Horror Mystery Thriller,soul survivors,melissa sagemil angela featherston candac kroslak stephen carpent drama horror mysteri thriller
James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,Biography Drama History Romance,jefferson in paris,seth gilliam todd boyc nigel whitmey jame ivori biographi drama histori romanc
Stephan Elliott,Colin Firth,Kristin Scott Thomas,Kris Marshall,Comedy Romance,easy virtue,colin firth kristin scott thoma kri marshal stephan elliott comedi romanc
James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,Action Adventure History,caravans,christoph lee joseph cotten behrouz vossoughi jame fargo action adventur histori
Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson,Biography Drama History,mr. turner,lesley manvil ruth sheen karl johnson mike leigh biographi drama histori
Alain Resnais,Mathieu Amalric,Sara Forestier,Edouard Baer,Drama Romance,wild grass,mathieu amalr sara foresti edouard baer alain resnai drama romanc
Costa-Gavras,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Biography Crime Drama War,amen.,sebastian koch mathieu kassovitz ulrich mühe costa-gavra biographi crime drama war
Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,Action,reign of assassins,woo-sung jung shawn yue kelli lin chao-bin su action
Neil Burger,John Heard,Katherine LaNasa,Mark L. Young,Comedy Drama War,the lucky ones,john heard katherin lanasa mark l. young neil burger comedi drama war
Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.,Drama,margaret,matt damon kieran culkin john gallagh jr. kenneth lonergan drama
Bo Zenga,Steve Howey,Kenan Thompson,Diora Baird,Comedy Horror,stan helsing,steve howey kenan thompson diora baird bo zenga comedi horror
Rob Reiner,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Comedy Drama Romance,flipped,madelin carrol rebecca de mornay aidan quinn rob reiner comedi drama romanc
Ang Lee,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Drama Romance,brokeback mountain,jake gyllenha heath ledger ann hathaway ang lee drama romanc
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles,noel fisher danni woodburn jeremi howard jonathan liebesman action adventur comedi sci-fi
Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,Comedy Romance,clueless,donald faison dan hedaya elisa donovan ami heckerl comedi romanc
Todd Haynes,Dennis Quaid,Celia Weston,Michael Gaston,Drama Romance,far from heaven,denni quaid celia weston michael gaston todd hayn drama romanc
Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe,Comedy Sci-Fi,hot tub time machine 2,adam scott gillian jacob collett wolf steve pink comedi sci-fi
Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner,Biography Drama,quills,kate winslet stephen marcu amelia warner philip kaufman biographi drama
Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Comedy Crime,seven psychopaths,abbi cornish gabourey sidib michael stuhlbarg martin mcdonagh comedi crime
Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,Crime Drama Music Mystery Thriller,the caveman's valentine,colm feor tamara tuni aunjanu elli kasi lemmon crime drama music mysteri thriller
unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,Action Crime Drama Thriller,the border            ,jacek koman marian dziedziel jaroslaw boberek unknown action crime drama thriller
Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Biography Drama History War,downfall,thoma kretschmann bruno ganz alexandra maria lara oliv hirschbiegel biographi drama histori war
Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas,Biography Drama Romance,the sea inside,belén rueda lola dueña tamar nova alejandro amenábar biographi drama romanc
Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,Drama Horror Sci-Fi Thriller,under the skin,scarlett johansson paul brannigan alison chand jonathan glazer drama horror sci-fi thriller
Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby,Biography Comedy Drama War,"good morning, vietnam",robin william j.t. walsh bruno kirbi barri levinson biographi comedi drama war
Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,Comedy,the last godfather,jason mew stephani danielson michael rispoli hyung-ra shim comedi
Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,Documentary Music,justin bieber: never say never,usher raymond sean kingston boy ii men jon m. chu documentari music
Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,Drama Thriller,black swan,natali portman mila kuni mark margoli darren aronofski drama thriller
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,robocop,gari oldman abbi cornish jennif ehl josé padilha action crime sci-fi thriller
Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,Crime Drama,the godfather: part ii,robert de niro al pacino robert duval franci ford coppola crime drama
Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Drama Music Romance,save the last dance,sean patrick thoma terri kinney fredro starr thoma carter drama music romanc
Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,Fantasy Horror Thriller,a nightmare on elm street 4: the dream master,tuesday knight rodney eastman brook bundi renni harlin fantasi horror thriller
Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,Drama,miracles from heaven,jennif garner brighton sharbino martin henderson patricia riggen drama
Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Comedy Mystery,"dude, where's my car?",jennif garner mari lynn rajskub marla sokoloff danni leiner comedi mysteri
Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,Action Crime Drama Thriller Western,young guns,jack palanc patrick wayn brian keith christoph cain action crime drama thriller western
Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey,Comedy Drama,st. vincent,bill murray naomi watt reg e. cathey theodor melfi comedi drama
Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,Comedy Romance,about last night,joe lo truglio regina hall bryan callen steve pink comedi romanc
Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Comedy Drama Romance,10 things i hate about you,joseph gordon-levitt heath ledger andrew keegan gil junger comedi drama romanc
Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,Comedy,the new guy,zooey deschanel eddi griffin gene simmon ed decter comedi
Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,Action Comedy Crime,loaded weapon 1,jon lovitz lin shay bill nunn gene quintano action comedi crime
